date,base,target_currency,rate
2020-12-01,EUR,AED,4.43461
2020-12-01,EUR,AFN,92.961258
2020-12-01,EUR,ALL,123.928214
2020-12-01,EUR,AMD,612.070581
2020-12-01,EUR,ANG,2.167574
2020-12-01,EUR,AOA,790.552617
2020-12-01,EUR,ARS,98.321638
2020-12-01,EUR,AUD,1.635772
2020-12-01,EUR,AWG,2.173118
2020-12-01,EUR,AZN,2.059196
2020-12-01,EUR,BAM,1.973101
2020-12-01,EUR,BBD,2.438243
2020-12-01,EUR,BDT,102.396815
2020-12-01,EUR,BGN,1.955327
2020-12-01,EUR,BHD,0.455241
2020-12-01,EUR,BIF,2350.589358
2020-12-01,EUR,BMD,1.207288
2020-12-01,EUR,BND,1.619691
2020-12-01,EUR,BOB,8.338389
2020-12-01,EUR,BRL,6.285624
2020-12-01,EUR,BSD,1.20757
2020-12-01,EUR,BTC,6.4192992e-05
2020-12-01,EUR,BTN,88.946883
2020-12-01,EUR,BWP,13.358229
2020-12-01,EUR,BYN,3.124954
2020-12-01,EUR,BYR,23662.840994
2020-12-01,EUR,BZD,2.434107
2020-12-01,EUR,CAD,1.561488
2020-12-01,EUR,CDF,2379.564049
2020-12-01,EUR,CHF,1.086022
2020-12-01,EUR,CLF,0.033253
2020-12-01,EUR,CLP,917.538103
2020-12-01,EUR,CNY,7.934654
2020-12-01,EUR,COP,4284.060779
2020-12-01,EUR,CRC,729.182788
2020-12-01,EUR,CUC,1.207288
2020-12-01,EUR,CUP,31.993127
2020-12-01,EUR,CVE,111.009651
2020-12-01,EUR,CZK,26.282177
2020-12-01,EUR,DJF,214.559395
2020-12-01,EUR,DKK,7.444028
2020-12-01,EUR,DOP,70.397221
2020-12-01,EUR,DZD,155.63134
2020-12-01,EUR,EGP,18.906851
2020-12-01,EUR,ERN,18.109517
2020-12-01,EUR,ETB,45.999921
2020-12-01,EUR,EUR,1
2020-12-01,EUR,FJD,2.508982
2020-12-01,EUR,FKP,0.899442
2020-12-01,EUR,GBP,0.899502
2020-12-01,EUR,GEL,4.007896
2020-12-01,EUR,GGP,0.899442
2020-12-01,EUR,GHS,7.06872
2020-12-01,EUR,GIP,0.899442
2020-12-01,EUR,GMD,62.477706
2020-12-01,EUR,GNF,11878.504317
2020-12-01,EUR,GTQ,9.437207
2020-12-01,EUR,GYD,253.014725
2020-12-01,EUR,HKD,9.359077
2020-12-01,EUR,HNL,29.355232
2020-12-01,EUR,HRK,7.553032
2020-12-01,EUR,HTG,79.902413
2020-12-01,EUR,HUF,356.591723
2020-12-01,EUR,IDR,17131.413965
2020-12-01,EUR,ILS,3.970866
2020-12-01,EUR,IMP,0.899442
2020-12-01,EUR,INR,88.941098
2020-12-01,EUR,IQD,1436.672489
2020-12-01,EUR,IRR,50832.853108
2020-12-01,EUR,ISK,158.02235
2020-12-01,EUR,JEP,0.899442
2020-12-01,EUR,JMD,176.77134
2020-12-01,EUR,JOD,0.855997
2020-12-01,EUR,JPY,125.931584
2020-12-01,EUR,KES,133.103943
2020-12-01,EUR,KGS,102.377761
2020-12-01,EUR,KHR,4893.137471
2020-12-01,EUR,KMF,493.651699
2020-12-01,EUR,KPW,1086.633509
2020-12-01,EUR,KRW,1335.74925
2020-12-01,EUR,KWD,0.368708
2020-12-01,EUR,KYD,1.006309
2020-12-01,EUR,KZT,514.059742
2020-12-01,EUR,LAK,11203.631093
2020-12-01,EUR,LBP,1826.291662
2020-12-01,EUR,LKR,224.672194
2020-12-01,EUR,LRD,190.449692
2020-12-01,EUR,LSL,18.543676
2020-12-01,EUR,LTL,3.564807
2020-12-01,EUR,LVL,0.730276
2020-12-01,EUR,LYD,1.630102
2020-12-01,EUR,MAD,10.901918
2020-12-01,EUR,MDL,20.830739
2020-12-01,EUR,MGA,4557.511728
2020-12-01,EUR,MKD,61.618461
2020-12-01,EUR,MMK,1595.227085
2020-12-01,EUR,MNT,3428.812831
2020-12-01,EUR,MOP,9.642181
2020-12-01,EUR,MRO,431.002368
2020-12-01,EUR,MUR,48.121974
2020-12-01,EUR,MVR,18.594683
2020-12-01,EUR,MWK,926.598047
2020-12-01,EUR,MXN,24.183484
2020-12-01,EUR,MYR,4.919671
2020-12-01,EUR,MZN,89.641512
2020-12-01,EUR,NAD,18.537937
2020-12-01,EUR,NGN,459.976371
2020-12-01,EUR,NIO,42.086667
2020-12-01,EUR,NOK,10.640913
2020-12-01,EUR,NPR,142.315919
2020-12-01,EUR,NZD,1.707842
2020-12-01,EUR,OMR,0.464818
2020-12-01,EUR,PAB,1.20757
2020-12-01,EUR,PEN,4.35713
2020-12-01,EUR,PGK,4.237639
2020-12-01,EUR,PHP,58.058914
2020-12-01,EUR,PKR,192.61077
2020-12-01,EUR,PLN,4.450003
2020-12-01,EUR,PYG,8497.380497
2020-12-01,EUR,QAR,4.395776
2020-12-01,EUR,RON,4.870804
2020-12-01,EUR,RSD,117.565499
2020-12-01,EUR,RUB,91.746024
2020-12-01,EUR,RWF,1192.196708
2020-12-01,EUR,SAR,4.528167
2020-12-01,EUR,SBD,9.699594
2020-12-01,EUR,SCR,25.123243
2020-12-01,EUR,SDG,66.767327
2020-12-01,EUR,SEK,10.244489
2020-12-01,EUR,SGD,1.614626
2020-12-01,EUR,SHP,0.899442
2020-12-01,EUR,SLL,12090.987482
2020-12-01,EUR,SOS,706.263018
2020-12-01,EUR,SRD,17.08794
2020-12-01,EUR,STD,25391.563666
2020-12-01,EUR,SVC,10.566492
2020-12-01,EUR,SYP,619.255952
2020-12-01,EUR,SZL,18.537902
2020-12-01,EUR,THB,36.508494
2020-12-01,EUR,TJS,13.675809
2020-12-01,EUR,TMT,4.225507
2020-12-01,EUR,TND,3.282008
2020-12-01,EUR,TOP,2.762455
2020-12-01,EUR,TRY,9.444006
2020-12-01,EUR,TTD,8.205627
2020-12-01,EUR,TWD,34.381193
2020-12-01,EUR,TZS,2800.382523
2020-12-01,EUR,UAH,34.497266
2020-12-01,EUR,UGX,4468.01003
2020-12-01,EUR,USD,1.207288
2020-12-01,EUR,UYU,51.496769
2020-12-01,EUR,UZS,12600.4624
2020-12-01,EUR,VEF,12.057785
2020-12-01,EUR,VND,27924.566949
2020-12-01,EUR,VUV,134.517105
2020-12-01,EUR,WST,3.078944
2020-12-01,EUR,XAF,661.755051
2020-12-01,EUR,XAG,0.050656
2020-12-01,EUR,XAU,0.000667
2020-12-01,EUR,XCD,3.262756
2020-12-01,EUR,XDR,0.844398
2020-12-01,EUR,XOF,662.800927
2020-12-01,EUR,XPF,120.064465
2020-12-01,EUR,YER,302.244521
2020-12-01,EUR,ZAR,18.40812
2020-12-01,EUR,ZMK,10867.039744
2020-12-01,EUR,ZMW,25.38339
2020-12-01,EUR,ZWL,388.746602
